path	classification	feature
.gitleaks.toml	PUBLISH_REQUIRED	repo-meta
PRODUCT_CONSTITUTION.md	PUBLISH_REQUIRED	repo-meta
PROJECT_STATE.md	PUBLISH_REQUIRED	repo-meta
README.md	PUBLISH_REQUIRED	repo-meta
VERSION	PUBLISH_REQUIRED	repo-meta
build/assemble.sh	PUBLISH_REQUIRED	platform-runtime
dist/soviez.sh	GENERATED_ARTIFACT	installer-artifact
dist/soviez.sh.sha256	GENERATED_ARTIFACT	installer-artifact-hash
docs/DOCUMENTATION_CONFLICT_REPORT.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/DOCUMENTATION_COVERAGE_MATRIX.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/DOCUMENTATION_INVENTORY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/README.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/AI_WORKFLOW.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/ANNUAL_SUPPORT_MULTI_YEAR_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/ARCHITECTURE_MAP.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/CAPABILITY_AND_ENTITLEMENT_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/CERTIFIED_ARTIFACT.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/CHANGE_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/CODE_GROUNDED_IMPLEMENTATION_DISCOVERY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/COMMERCIAL_ENTITLEMENT_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/COMPONENT_OWNERSHIP.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/CONTEXT_HANDOFF.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/CURRENT_STATE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/DATA_EGRESS_CONTRACT.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/DECISION_LOG.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/DEVICE_AUTHORIZATION_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/DOMAIN_SSL_LIFECYCLE_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/FORBIDDEN_ACTIONS.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/IMPLEMENTATION_INVARIANTS.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/LICENSE_SLOT_RESERVATION_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/LICENSE_SLOT_STATE_MACHINE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/MASTER_IMPLEMENTATION_PLAN.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/MIGRATION_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/MIGRATION_AUTHORIZATION_AND_REBIND_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/MIGRATION_DISCOVERY_AND_BOOTSTRAP_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/MIGRATION_DOMAIN_AND_ROUTING_READINESS_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/MIGRATION_PRODUCTION_CUTOVER_AND_ROLLBACK_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/MIGRATION_SOURCE_ARCHIVE_AND_RETIREMENT_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
